№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
325907,ИП БЕРДЫКУЛОВА ЖАНАТ,,520228402107,
325867,"Товарищество с ограниченной ответственностью ""КДЛ ОЛИМП Атырау""",230440000060,,
325787,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Алтын Тұмар""",121240012007,,
325707,ИП ТИЛЕУХАН САНДУГАШ,,840918401644,
325667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BR MEDICAL""",201040023012,,
325627,"""KOMPANIYA GULDENA GGG"" жауапкершілігі шектеулі серіктестігі",190540033526,,
325567,ИП АБДУЛХАИРОВ ЭЛЬДАР,,860415300143,
325527,"Товарищество с ограниченной ответственностью ""Ақниет-Medical""",120840003919,,
325347,"Товарищество с ограниченной ответственностью ""Лайк-Клиник""",201040034701,,
325307,"Товарищество с ограниченной ответственностью ""SABI BOBEK""",220340024449,,
325267,ИП СЕТАЕВА САЯГУЛЬ,,901028450968,
325147,"ТОО ""КДЛ ""EXPERT"" medical center(ЭКСПЕРТ)""",220740009400,,
325067,ИП АЛЯХМЕТОВ КОЙЧУБАЙ,,610620303499,
325007,"ТОО ""Фарма Рафа""",170340023994,,
324947,"РГУ ""ДКНБ РК по области Жетісу""",220840039524,,
324847,"ТОО ""Union Clinic""",230340020071,,
324787,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""OZAT OPTICS""",230140007423,,
324667,"ИП ""МЦ Эксперт УЗИ""",,820602499089,
324607,"Товарищество с ограниченной ответственностью ""Dr.Smile""",230540005005,,
324547,"ТОО ""Клиника ""Авиценна""",050140014170,,
324507,"Товарищество с ограниченной ответственностью ""Айдимед""",110440020655,,
324447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИЗМ""",170840011384,,
324387,"ТОО""AiaruMed""",200740004326,,
324327,"ТОО ""Vender.kz""",141040019259,,
324287,"ТОО ""Elegant dental""",230240034751,,
324247,ИП SPQ,,890405450563,
324207,"Товарищество с ограниченной ответственностью ""ASYLDARMED""",230440033750,,
324187,"Товарищество с ограниченной ответственностью ""KazMedkomp""",131140016008,,
324047,"Товарищество с ограниченной ответственностью ""ESEM Pharmacy""",200640017463,,
324007,"Товарищество с ограниченной ответственностью ""ПриИшимье и К""",230540012968,,
323947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКАЯ КОМПАНИЯ ""САПСАН""",140440020968,,
323907,"Товарищество с ограниченной ответственностью ""Астана-дәрі-41""",960240000194,,
323807,"Товарищество с ограниченной ответственностью ""Азия-Фаворит""",111240001406,,
323767,"Товарищество с ограниченной ответственностью ""МЦ ЗРЕНИЕ""",051140011357,,
323727,"Товарищество с ограниченной ответственностью ""DAZAIA""",090540016496,,
323607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MS STOCK (МС СТОК)""",030340004820,,
323567,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""INTELLMED""",210940045005,,
323467,"Товарищество с ограниченной ответственностью ""Interna Polyclinic""",230340009000,,
323407,"Товарищество с ограниченной ответственностью ""OTOLUX""",170940016834,,
323347,"Товарищество с ограниченной ответственностью ""Медицинский институт инновации и развитии""",190940022872,,
323267,ДО АО Банк ВТБ (Казахстан),080940010300,,
323167,"Товарищество с ограниченной ответственностью ""Mobil Med""",220340021870,,
323127,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SMARTMEDICAL""",181140000338,,
323047,РЫСПАЕВ АЛЬМУРАТ,,500330300693,
322947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BN-MEDICAL""",221040033416,,
322887,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ТОП СЕРВИС""",150440026700,,
322827,"Товарищество с ограниченной ответственностью ""МедАптека""",171240018263,,
322747,"Товарищество с ограниченной ответственностью ""Aspan Medicus""",230140029721,,
322687,"Товарищество с ограниченной ответственностью ""Клиника Lotus Medical""",230240030441,,
322647,"Товарищество с ограниченной ответственностью ""MedEngineering""",160240009804,,
322607,"Товарищество с ограниченной ответственностью ""NazMedical""",230840006906,,
322567,Коммунальное государственное учреждение «Кабинет психолого-педагогической коррекции №3» управления образования Карагандинской области,180440042410,,
322447,"Алматинский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241019378,,
322367,ИП ФЕДОСЕЕВ АНАТОЛИЙ,,780609350187,
322287,"Товарищество с ограниченной ответственностью ""Artven""",221140020451,,
322207,"Товарищество с ограниченной ответственностью ""РВ Конрад""",160340010099,,
322167,"""Avicenna Kazakhstan"" жауапкершілігі шектеулі серіктестігі",230640040453,,
322067,ИП КУРБАНОВ ЗАФАР,,900906300350,
322027,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОДИКС""",050840003507,,
321967,"Товарищество с ограниченной ответственностью ""Специализированное Медицинское Обеспечение""",031140000665,,
321907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕВИТА""",170540026926,,
321847,"Товарищество с ограниченной ответственностью ""Райымбек Клиник""",230340012090,,
321727,"Товарищество с ограниченной ответственностью ""Landau""",170640021126,,
321587,"Товарищество с ограниченной ответственностью ""VIKAN PHARMA (ВИКАН ФАРМА)""",170340002664,,
321507,"ТОО ""MEDICAL SURGERY CENTER""",230540029062,,
321467,"Областной филиал Жетісу Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241019645,,
321427,"Товарищество с ограниченной ответственностью ""HES Group""",030340007845,,
321267,"Товарищество с ограниченной ответственностью ""Диагностический центр Авиценна""",220240039067,,
321207,"Товарищество с ограниченной ответственностью ""Capital Pharmacy""",191140007872,,
321167,"Товарищество с ограниченной ответственностью ""Мастер дент Кызылорда""",220140003499,,
321027,"Товарищество с ограниченной ответственностью ""Товарищества с ограниченной ответственностью Гиппократ""",230340014097,,
320967,"ИП ""Жусан""",,781103302852,
320887,"Товарищество с ограниченной ответственностью ""Рамтэк""",090440018200,,
320807,"Товарищество с ограниченной ответственностью ""МЕДА""",050640003371,,
320747,"ТОО ""Станционар на дому- Мерей""",230540011426,,
320707,"Товарищество с ограниченной ответственностью ""Адал Ниет Актобе""",230540040539,,
320667,"Товарищество с ограниченной ответственностью ""Поликлиника Аспан""",200940004165,,
320587,"Товарищество с ограниченной ответственностью ""МАРТА и К""",190840021177,,
320407,"Частное учреждение ""Көмек-Шипа""",230240043265,,
320347,Палата предпринимателей области Ұлытау,221240042024,,
320287,"ТОО ""Халықберді""",150640016483,,
320247,Областной филиал Ұлытау Республиканского государственного предприятия на праве хозяйственного ведения «Национальный научный центр развития здравоохраения имени Салидат Каирбековой» Министерства здравоохранения Республики Казахстан,221241022893,,
320067,"ИП ""Айтжанов Ж.""",,800202301925,
319987,"Товарищество с ограниченной ответственностью ""AYA CLINIC Medical Centre""",220940046540,,
319927,"Товарищество с ограниченной ответственностью ""MedCity Pavlodar""",220840012374,,
319847,"Товарищество с ограниченной ответственностью ""Фирма Эверест""",211240019856,,
319767,Палата предпринимателей области Жетісу,230140002948,,
319667,"ТОО ""СапаКлиник""",211040009990,,
319607,ИП ТӨЛЕШ ГҮЛЗИНА,,850225402121,
319547,"ОФ ""ШЫҒЫС МЕЙІРІМІ""",230140037960,,
319507,"Товарищество с ограниченной ответственностью ""BATYSMED""",051140012028,,
319407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ИННОВАЦИОННЫЙ ЦЕНТР «MS CLINIC»""",210840019419,,
319367,"Товарищество с ограниченной ответственностью ""Клиника Каусар""",230340004565,,
319307,"Товарищество с ограниченной ответственностью ""Видо""",181240022164,,
319267,"ЖСС ""Проектный Институт водного хозяйства""",121240019054,,
319187,ИП ТУРАХМЕТОВА АЙГУЛЬ,,750729401549,
319147,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""GRAND CLINIC""",060640001048,,
319027,Палата предпринимателей Карагандинской области,131040017240,,
318967,"Товарищество с ограниченной ответственностью ""Sana Vita medical""",161140019345,,
318927,"""Бакыт DENT"" жауапкершілігі шектеулі серіктестігі",230540002080,,
318827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЛАЗЕРНОЙ ХИРУРГИИ ""DUET CLINIC""",221040022385,,
318787,"Товарищество с ограниченной ответственностью ""Аванта К""",200140019957,,
318727,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОМАТОЛОГИЯ ЕРЖИГИТ""",221140017590,,
318667,ТОЛЕШБАЕВ ДИАС,,891221300206,
318447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZHETI QAZYNA KZ""",201140000760,,
318367,"Товарищество с ограниченной ответственностью ""Алем - Пласт""",070440002627,,
318327,"Товарищество с ограниченной ответственностью ""AMARA HOSPIS""",220640048704,,
318287,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PRIMA GROUP COMPANY""",201140002281,,
318247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""UNITED MEDICAL""",140140018112,,
318187,"Товарищество с ограниченной ответственностью ""Adil Med KZ""",230540008951,,
318147,"Товарищество с ограниченной ответственностью ""NOUVAG-DENT""",200740024370,,
318107,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС-MEDICA""",031040004337,,
318087,ИП НАУРЗБАЕВ АСЛАНБЕК,,760908300727,
318027,"Товарищество с ограниченной ответственностью ""HiLife (ХайЛайф)""",210940008142,,
317947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСЫЛ-ФАРМ COMPANY""",010140004493,,
317907,"Товарищество с ограниченной ответственностью ""KazMiningServices""",170640014490,,
317867,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ISHYM MEDICAL""",221040030445,,
317787,"Товарищество с ограниченной ответственностью ""МЦ Reamed""",220940003408,,
317687,"Товарищество с ограниченной ответственностью ""Поликлиника Рахат Астана""",230340035238,,
317587,"Товарищество с ограниченной ответственностью ""МERIS Construction""",110340002900,,
317487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКС ГРУП""",191140026492,,
317407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОДИАТР""",201140002192,,
317327,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕРГРУПП""",200440002359,,
317287,"Товарищество с ограниченной ответственностью ""JMD Clinic""",220840042900,,
317247,"Товарищество с ограниченной ответственностью ""Медицинский центр ""iClinic Atyrau""""",210140035178,,
317187,ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ “ДЕЛЬРУС КАЗАХСТАН”,220740042749,,
317147,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Жамбылский областной перинатальный центр управления здравоохранения акимата Жамбылской области""",230640012399,,
317107,"Товарищество с ограниченной ответственностью ""Зубайра""",221140052806,,
317047,"Товарищество с ограниченной ответственностью ""Dr. Asad""",220540010951,,
316967,"Товарищество с ограниченной ответственностью ""Turan MD""",150240002934,,
316887,"Товарищество с ограниченной ответственностью """"GIRNE""""",230540041597,,
316767,"Товарищество с ограниченной ответственностью ""Sanamedical""",190540030571,,
316707,СИБИРКО ОКСАНА,,800920400789,
316607,ИП СИБИРКО ОКСАНА,,800920400789,
316567,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИЛИАЛ РДЦ""",150740006003,,
316447,"Товарищество с ограниченной ответственностью ""AKISHEV & Co""",210140033637,,
316247,"Товарищество с ограниченной ответственностью ""Mexel Health""",100440008882,,
316167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""АЛТЫН""""",220840006469,,
316087,"Товарищество с ограниченной ответственностью ""АСМ клиник""",230140033046,,
316047,"Товарищество с ограниченной ответственностью ""Service Prom Qazaqstan""",181040021426,,
316007,ИП Медина,,821012400411,
315947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ADAL MEDPHARM""",200640020641,,
315867,ИП АЙТУЕВА Э.Е.,,830912401491,
315827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЛИВА""",990240000417,,
315747,"""Elite Med"" жауапкершілігі шектеулі серіктестігі",230140020034,,
315687,"Товарищество с ограниченной ответственностью ""Внешнеторговое объединение МЕДТЕХНИКА""",080540005230,,
315667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AG-MEDICUS""",210840002068,,
315607,"Товарищество с ограниченной ответственностью ""DI Life (Ди лайф)""",180140021368,,
315547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""INFINITY LIFE""",210740007362,,
315507,"ИП ""МУРАТОВА А. У.""",,810526401300,
315447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AIRUS TECHNOLOGY""",160140002576,,
315327,"Товарищество с ограниченной ответственностью ""32 Qarat""",210740009217,,
315267,ИП ШУЙТАНОВ ДАРХАН,,760429301652,
315207,"Товарищество с ограниченной ответственностью ""Мейірім-Орал""",230140022625,,
315147,"Товарищество с ограниченной ответственностью ""UmmaMed""",230540000778,,
315027,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАСТРОMEDICL""",230240038665,,
314987,"ИП ""Дастан""",,860213350716,
314887,"ТОО ""Vision-X""",230640023989,,
314787,"Товарищество с ограниченной ответственностью ""ЖЕТЫСУ-МЕД""",100240017100,,
314727,ИП Medintel,,970101300094,
314667,"Филиал Акционерного общества ""ForteBank"" в городе Тараз",061241005707,,
314607,"ТОО ""KazMed Company""",220640002598,,
314567,"Туркестанский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой» Министерства здравоохранения Республики Казахстан",221141055589,,
314487,"Товарищество с ограниченной ответственностью ""QUANTOM""",161140005751,,
314307,"Товарищество с ограниченной ответственностью Дерматологический центр ""Aesthetic Dermatology""",230140003788,,
314207,"ТОО ""Zangar advance""",191040027615,,
314127,"УЗИ Кабинет ""Нурмед""",,820928400964,
314067,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BABY SPA""",230340022454,,
313967,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДЕЛЬВЕЙС ФАЙФ""",140240004443,,
313927,ИП БЕКСЕИТОВ АЙДОС,,850708302507,
313867,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «ГОСУДАРСТВЕННЫЙ ВЫСШИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ ИМЕНИ ДУЙСЕНБИ КАЛМАТАЕВА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ОБЛАСТИ АБАЙ,990340001964,,
313787,ИП АЙДАРБЕКОВ НУРКЕН,,800317302631,
313747,"Товарищество с ограниченной ответственностью ""BEK clinic""",230440026153,,
313687,ИП УТЕБАЕВА ЖАЗИРА,,770825402621,
313647,"""BERCLINIC"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",200540018804,,
313607,"ТОО ""NYGMED""",230340029937,,
313507,"Жамбылский областной филиал Республиканского государственного предриятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241000783,,
313447,"Товарищество с ограниченной ответственностью ""ALEL MEDICAL GROUP""",230340039568,,
313407,"ТОО ""Клиника Нур-Мед""",230340006988,,
313247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""YURIA-PHARM KAZAKHSTAN (ЮРИЯ-ФАРМ КАЗАХСТАН)""",221040021911,,
313147,"Товарищество с ограниченной ответственностью ""Алтын Дент Клиника""",211140036298,,
313087,ИП ADIMED,,870426401566,
313027,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BELMED""",220740007989,,
312967,"ТОО ""AIZERE-DENT""",221240031272,,
312927,"Товарищество с ограниченной ответственностью ""DJUNO""",230240025396,,
312867,"Товарищество с ограниченной ответственностью ""Тополь""",991040001502,,
312787,"""АДИНА-МЕД"" жауапкершілігі шектеулі серіктестігі",230440035231,,
312727,"Товарищество с ограниченной ответственностью ""KPM GROUP""",140540025744,,
312687,"Товарищество с ограниченной ответственностью ""AMAST""",180340035484,,
312487,"Товарищество с ограниченной ответственностью ""Ақжан-1""",230340009427,,
312427,"ТОО """"Центр семейной стоматологии ""VITA DENTAL CLINIC""""",230240041447,,
312367,"Товарищество с ограниченной ответственностью ""Asia Steel Trade""",170740010619,,
312307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDPOINT""",221140000020,,
312227,"ТОО ""Koksu-Medical""",230440006456,,
312127,"Товарищество с ограниченной ответственностью ""Med centre""",230240020701,,
312027,"Товарищество с ограниченной ответственностью ""Taraz Paper Manufactory""",190640021487,,
311887,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭМИ""",961040000239,,
311827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЕТЕС""",170440032233,,
311767,"Товарищество с ограниченной ответственностью ""Абуцел""",221240002154,,
311727,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""QAZQURALMED""",190740018748,,
311667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИМЕД""",211140030813,,
311607,"ТОО ""РОК ""Атлант""",210240042184,,
311467,"Товарищество с ограниченной ответственностью ""SMK-ритм""",230240014816,,
311427,"Товарищество с ограниченной ответственностью ""Медицинский центр ""ЖанАли""",220440050104,,
311207,ИП Куаныш мед,,870713301371,
311167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЗУС-МЕД""",230140016234,,
311127,"Товарищество с ограниченной ответственностью ""Қайсар-сервис""",010940003701,,
311047,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЧИ""",221040016033,,
310967,ТОО «Международный научный центр травматологии и ортопедии»,211140036179,,
310927,ИП КАКЕНОВА ЖАНСАЯ,,920323450704,
310887,"Товарищество с ограниченной ответственностью ""Амире-Мансур""",230240020682,,
310847,"Товарищество с ограниченной ответственностью ""Керуен-Mеdicus на Шарипова""",230440031665,,
310807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""EXPERT ORTHO""",220640050311,,
310767,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕНТАЛ МЕДСЕРВИС""",200640004977,,
310707,"Товарищество с ограниченной ответственностью ""Tandem TVS""",010340002840,,
310647,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""HALYK PHARM""",211040029112,,
310607,"Товарищество с ограниченной ответственностью ""Аура-Мед""",030240007584,,
310387,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDVOYAGE""",120540011364,,
310287,"Товарищество с ограниченной ответственностью ""T.T-Pharm""",180140008370,,
310247,"Товарищество с ограниченной ответственностью ""КДЛ ""ЭКО лаб""""",230440040535,,
310167,"Товарищество с ограниченной ответственностью ""Modern Dentistry""",200240024095,,
310127,"Товарищество с ограниченной ответственностью ""ЖДС КСТ""",180540009591,,
310087,"Товарищество с ограниченной ответственностью ""Медиал Групп""",150940004778,,
310027,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"СЕМЕЙНАЯ ВРАЧЕБНАЯ АМБУЛАТОРИЯ ДЕНСАУЛЫҚ""""",210640023777,,
309967,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""THE BRONX""",190240011277,,
309907,ИП БАҚЫТ ГҮЛНАЗ,,870520402097,
309867,ИП АКИМОВ ЮРИЙ,,850507300380,
309827,"Товарищество с ограниченной ответственностью ""Saulyq Syry""",221040020884,,
309787,"Товарищество с ограниченной ответственностью """"Семейный стоматологический центр ""VITA DENTAL CLINIC""""",230240041526,,
309707,"Товарищество с ограниченной ответственностью ""Центр массажа и мануальной терапии""",230340042459,,
309667,"Товарищество с ограниченной ответственностью ""ОрдаМед Алматы""",180540017601,,
309607,ИП ЖАННУРАЙ,,790317303764,
309547,"Товарищество с ограниченной ответственностью ""dr.Davranov""",211240013490,,
309447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТИТУТ НЕПРЕРЫВНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КЕМЕҢГЕР""",150140000815,,
309387,"Филиал Товарищество с ограниченной ответственностью ""МедИнвестГрупп Казахстан"" в городе Уральск",210341024968,,
309227,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРДАМЕД АСТАНА""",120340016219,,
309187,ИП БАСКАРАЕВА ГУЛЬЗАДА,,850220400455,
309147,"Товарищество с ограниченной ответственностью ""RBN DEVELOPMENT""",230340029799,,
309047,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУ-ТАЙЕРС""",191240008963,,
308987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CAMPO MARZIO DESIGN"" (КАМПО МАРЦИО ДИЗАЙН)",110340012670,,
308947,"Актюбинский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241009192,,
308867,"Алматинский городской филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221141049514,,
308747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ARTEMISIA MEDICAL GROUP""",190440020075,,
308687,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MLAB""",170840022805,,
308667,ИП КОЯНБАЕВ ЭРИК,,750312301703,
308587,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICAL COMPANY SUNCAR CITY""",210440039002,,
308547,"ТОО ""Aqualab Astana (Аквалаб Астана)""",220340022432,,
308467,ИП ИМАНКУЛОВА БАХЫТЖАН,,630213401826,
308427,"Общественное объединение инвалидов ""Көгершін""",140340001849,,
308387,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНЖЕНЕРНЫЙ ЦЕНТР ""КРАНБУРСЕРВИС-АТЫРАУ""",120740016352,,
308327,ИП МУСАЕВ ЖОЛАМАН,,701210302463,
308267,"Товарищество с ограниченной ответственностью ""TURAN DENTAL""",230140020212,,
308207,"Товарищество с ограниченной ответственностью ""Medical Park Kazakhstan""",230240044550,,
308167,"Филиал Товарищества с ограниченной ответственностью ""Күлімкөз""",221241030438,,
308087,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАДИЦИОННАЯ КИТАЙСКАЯ МЕДИЦИНА""",141040005040,,
308047,«АРАЙ ҚАМҚОР» МҮГЕДЕКТЕР ҚОҒАМЫ» ҚОҒАМДЫҚ БІРЛЕСТІГІ,220840020197,,
308007,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SMARTFIT 2020""",210140021435,,
307947,"Товарищество с ограниченной ответственностью ""Baident Atyrau""",210140032341,,
307887,"ТОО ""Нариман Дент""",,891017402061,
307827,"Товарищество с ограниченной ответственностью ""Сурдология""",230240012205,,
307787,"Кызылординский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241006485,,
307647,"Товарищество с ограниченной ответственностью ""Клиника ""Medion+""""",221240003138,,
307567,"Товарищество с ограниченной ответственностью ""CEREBRUM CENTRUM""",220740048649,,
307347,"Товарищество с ограниченной ответственностью """"Farabi Clinic""""",211140027645,,
307307,"Товарищество с ограниченной ответственностью ""Глазная клиника""",230240027607,,
307227,"Товарищество с ограниченной ответственностью ""РАМАСАН""",050640001127,,
307187,"TOO ""SMA COMPANY KZ""",220640009486,,
307107,"Филиал товарищества с ограниченной ответственности ""AIBARMED""",221041037656,,
306947,ИП НҰРБЕКОВ АЙБАТ,,980726300109,
306887,"Республиканское государственное учреждение ""Министерство финансов Республики Казахстан""",201040000013,,
306807,ИП Mercury Dent,,910527301975,
306767,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СОЮЗ НЕЗАВИСИМЫХ ЭКСПЕРТОВ КГМУ""",110440000511,,
306667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DAR MED""",211140005337,,
306627,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""EMPIRE DENTAL CLINIC""",220840033307,,
306567,"Товарищество с ограниченной ответственностью ""VAERE SUNN""",200340005101,,
