№,Организатор,Название объявления,Способ закупки,Вид предмета закупки,Дата начала приема заявок,Дата окончания приема заявок,Кол-во лотов,Сумма объявления,Статус
452120-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ИНКАР *
ДО-9 ИНКАР *",Из одного источника,Товар,2023-08-28 10:00:00,2023-09-05 10:00:00,6,47 007 444.21,Завершено
452100-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 СААФАРМА *
ДО-9 СААФАРМА *",Из одного источника,Товар,2023-08-28 10:00:00,2023-09-05 10:00:00,1,11 377 102.59,Завершено
452080-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 НОБЕЛ *
ДО-9 НОБЕЛ *",Из одного источника,Товар,2023-08-28 10:00:00,2023-09-05 10:00:00,32,175 413 387.32,Завершено
451980-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 МЕДСЕРВИС
ДО-9 МЕДСЕРВИС",Из одного источника,Товар,2023-08-25 10:00:00,2023-09-04 10:00:00,29,286 957 587.09,Завершено
451860-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 МЕДСЕРВИС
ДО-9 МЕДСЕРВИС",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,68 850.00,Завершено
451840-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЭКО-ФАРМ
ДО-9 ЭКО-ФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,3,1 521 200.00,Завершено
451820-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЭКОФАРМ ИНТЕРНЕЙШНЛ
ДО-9 ЭКОФАРМ ИНТЕРНЕЙШНЛ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,25,52 355 938.00,Завершено
451800-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЭКОФАРМ ИНТЕРНЕЙШНЛ
ДО-9 ЭКОФАРМ ИНТЕРНЕЙШНЛ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,44 762.00,Завершено
451780-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ТК ФАРМ АКТОБЕ
ДО-9 ТК ФАРМ АКТОБЕ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,4,905 098.90,Завершено
451760-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ТАКЕДА
ДО-9 ТАКЕДА",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,4,93 677 530.40,Завершено
451740-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 Р-ФАРМ
ДО-9 Р-ФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,11 444 369.04,Завершено
451720-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ОАД-27
ДО-9 ОАД-27",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,50 539 606.00,Завершено
451700-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 НУР-МАЙ
ДО-9 НУР-МАЙ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,3 661 400.00,Завершено
451680-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 НОВО НОРДИСК
ДО-9 НОВО НОРДИСК",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,5 183 569.10,Завершено
451660-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЗЕРДЕ
ДО-9 ЗЕРДЕ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,7 246 348.20,Завершено
451620-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 БИОЛА
ДО-9 БИОЛА",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,5,6 031 800.00,Завершено
451600-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 МЕДАК ФАРМ
ДО-9 МЕДАК ФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,1 890 911.59,Завершено
451580-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 КФК
ДО-9 КФК",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,4,216 373 657.12,Завершено
451560-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 КФК
ДО-9 КФК",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,5,88 829 523.72,Завершено
451540-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 КАЗ МЕД ПРОМ
ДО-9 КАЗ МЕД ПРОМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,6,14 403 050.00,Завершено
451520-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ВИВА ФАРМ
ДО-9 ВИВА ФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,3,53 745 268.90,Завершено
451500-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ВИВА ФАРМ
ДО-9 ВИВА ФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,663 960.00,Завершено
451480-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 АЛМЕРЕК
ДО-9 АЛМЕРЕК",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,12,2 964 073.00,Завершено
451460-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 АКСЕЛЬ
ДО-9 АКСЕЛЬ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,3 243 100.00,Завершено
451440-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 АБДИ ИБРАХИМ
ДО-9 АБДИ ИБРАХИМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,5,6 948 582.40,Завершено
451420-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЮРИЯ ФАРМ
ДО-9 ЮРИЯ ФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,48 469 539.50,Завершено
451400-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ВИТА ФАРМА
ДО-9 ВИТА ФАРМА",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,28 089.00,Завершено
451380-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 СУПЕРФАРМ
ДО-9 СУПЕРФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,7,13 424 763.66,Завершено
451360-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 СУПЕРФАРМ
ДО-9 СУПЕРФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,61,65 996 922.48,Завершено
451340-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ШТАДА
ДО-9 ШТАДА",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,4,20 880 474.34,Завершено
451320-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 МАРАЙ
ДО-9 МАРАЙ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,10,8 138 750.00,Завершено
451300-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 L-ФАРМА
ДО-9 L-ФАРМА",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,16 222 080.00,Завершено
451280-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 КЕЛУН
ДО-9 КЕЛУН",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,2,5 120 535.10,Завершено
451260-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 КЕЛУН
ДО-9 КЕЛУН",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,16,79 311 977.40,Завершено
451240-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 КАЗБИОТЕК
ДО-9 КАЗБИОТЕК",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,3 090 000.00,Завершено
451220-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЖУЛДЫЗ
ДО-9 ЖУЛДЫЗ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,32,15 384 690.00,Завершено
451200-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ДОЛЧЕ
ДО-9 ДОЛЧЕ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,16,19 901 052.20,Завершено
451180-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ДОЛЧЕ
ДО-9 ДОЛЧЕ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,40 260.00,Завершено
451160-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 АВКЕЙР
ДО-9 АВКЕЙР",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,44 269 512.00,Завершено
451140-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 АНП
ДО-9 АНП",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,7 264 296.00,Завершено
451120-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 БО-НА
ДО-9 БО-НА",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,4 842 736.00,Завершено
451100-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 СВИКС
ДО-9 СВИКС",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,12 032 852.48,Завершено
451080-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 НОБЕЛ
ДО-9 НОБЕЛ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,121 358.72,Завершено
451060-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЕВРОСТАНДАРТ
ДО-9 ЕВРОСТАНДАРТ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,1,2 105 246.00,Завершено
451040-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ЭЙРАМЕД
ДО-9 ЭЙРАМЕД",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,3,27 571 200.00,Завершено
451020-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","ДО-9 ХИМФАРМ
ДО-9 ХИМФАРМ",Из одного источника,Товар,2023-08-24 10:00:00,2023-09-01 10:00:00,50,141 000 475.10,Завершено
450900-1,Филиал по Акмолинской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-23 17:00:41,2023-08-28 10:00:07,7,384 376 085.15,Завершено
450840-1,"ФИЛИАЛ ПО ГОРОДУ ШЫМКЕНТ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-23 13:00:00,2023-08-24 13:00:00,1,27 673 486.00,Завершено
450820-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-23 10:00:00,2023-08-24 12:00:00,1,35 320 234.85,Завершено
450800-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2023 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2023 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-22 10:00:00,2023-08-23 10:00:00,2,156 666 086.74,Завершено
450780-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-22 10:00:00,2023-08-23 10:00:00,1,147 916 844.00,Завершено
450760-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Повторный закуп медицинской техники
Медициналық техниканы қайта сатып алу",Тендер,Товар,2023-09-18 09:00:00,2023-09-25 10:00:00,2,187 146 800.00,Завершено
450740-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2023 год
2023 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2023-08-21 09:00:00,2023-08-25 10:00:00,2,4 165 023.67,Завершено
450700-1,"ФИЛИАЛ ПО ОБЛАСТИ ҰЛЫТАУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи в соответствии с пунктом 41 Правил закупа среди поставщиков, с которыми заключены договоры закупа услуг на текущий финансовый год в пределах плана закупа медицинских услуг
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-18 17:45:00,2023-08-22 16:00:00,1,29 137 721.17,Завершено
450680-1,"ФИЛИАЛ ПО ОБЛАСТИ ҰЛЫТАУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2023 жыл – МӘМС] Міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-18 17:30:00,2023-08-22 16:00:00,1,197 359 203.48,Завершено
450660-1,ФИЛИАЛ ПО ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА «ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ»,"[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2023 жыл - ТМККК] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-18 17:00:00,2023-08-22 11:00:00,1,66 625 886.81,Завершено
450640-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп медицинской техники
Медициналық техниканы сатып алу",Тендер,Товар,2023-09-19 09:00:00,2023-09-26 10:00:00,41,6 829 334 057.00,Завершено
428980-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","Размещение ОСМС Кызылординская область 2023
Размещение ОСМС Кызылординская область 2023",Закуп медицинских услуг,Услуга,2023-01-01 00:00:00,2023-08-17 12:01:39,1,46 260 156.12,Завершено
429141-1,"ФИЛИАЛ ПО ГОРОДУ ШЫМКЕНТ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Размещение ГОБМП г.Шымкент 2023
Размещение ГОБМП г.Шымкент 2023",Закуп медицинских услуг,Услуга,2023-01-01 00:00:00,2023-08-17 08:56:36,2,318 364 061.58,Завершено
450480-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2024 год
2024 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2023-09-08 09:00:00,2023-09-13 10:00:00,58,26 955 065 653.32,Завершено
450460-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2024 год
2024 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2023-09-08 09:00:00,2023-09-13 10:00:00,59,30 846 866 375.93,Завершено
450440-1,"ФИЛИАЛ ПО ПАВЛОДАРСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения.
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-18 12:12:56,2023-08-23 12:12:56,2,122 946 969.80,Завершено
450380-1,"ФИЛИАЛ ПО ГОРОДУ ШЫМКЕНТ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру.",Закуп медицинских услуг,Услуга,2023-08-16 16:00:00,2023-08-17 16:00:00,1,128 750 824.83,Завершено
450360-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2024 год
2024 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2023-08-16 09:00:00,2023-08-22 10:00:00,2,26 058.20,Завершено
450340-1,"ФИЛИАЛ ПО ОБЛАСТИ ҰЛЫТАУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2023 год - ГОБМП] Объявление о проведении процедуры размещения объемов медицинских услуг в рамках гарантированного объема бесплатной медицинской помощи в соответствии с пунктом 41 Правил закупа среди поставщиков, с которыми заключены договоры закупа услуг на текущий финансовый год в пределах плана закупа медицинских услуг
[2023 жыл - ТМККК] Тегін медициналық көмектің кепілдік берілген көлемі шеңберінде медициналық қызметтер көрсетуге үміткер денсаулық сақтау субъектілерінің дерекқорына қосылған денсаулық сақтау субъектілерінің арасында медициналық көрсетілетін қызметтердің көлемдерін орналастыру рәсімін өткізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2023-08-14 16:15:00,2023-08-15 17:00:00,1,17 114 755.93,Завершено
