Регион,Код или название услуги,Результат (текст)
область Абай,"D03.008.003 - Профилактические осмотры полости рта детей в детских дошкольных образовательных организациях, учащихся средних общеобразовательных организаций, женщин, вставших на учет по беременности","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,D03.007.002 - Удаление одонтогенной кисты в области 1-2 зубов,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.004.003 - Сеанс аппликации фтор-цементом в одном зубе,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.006.002 - Перевязка гнойной раны с дренированием (стоматолог),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.006.001 - Лечение пульпита пломбированием 1 корня постоянного зуба или методом прижизненной ампутации пульпы, завершенное пломбой из цемента","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.011.003 - Комплексное первичное обследование и оформление документации больного с челюстно-лицевой патологией,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.016.002 - Лечение невралгии (стомалог),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.013.002 - Лечение альвеолита,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.015.001 - Лечение периодонтита первого премоляра верхней челюсти с пломбированием всех каналов, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.012.002 - Шинирование при переломе челюстей двучелюстное,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.011.002 - Шинирование при переломе челюстей единочелюстное,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.018.001 - Лечение периодонтита однокорневого зуба, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.019.001 - Лечение периодонтита временного или постоянного зуба импрегнационным методом, завершенное пломбой из цемента","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.018.002 - Удаление временного зуба по поводу осложнения кариеса,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.011.001 - Лечение пульпита пломбированием 3 корней постоянного зуба, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.014.002 - Альвеолоэктомия в области 1 зуба,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.016.001 - Лечение периодонтита первого премоляра верхней челюсти с пломбированием одного канала, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.014.001 - Лечение периодонтита моляра с пломбированием одного канала, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.019.002 - Удаление постоянного зуба с компактостеотомией,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.013.001 - Лечение периодонтита большого коренного зуба с пломбированием двух каналов, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.015.002 - Лечение неврита луночкового нерва,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.017.002 - Удаление временного зуба по смене прикуса,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.012.001 - Лечение периодонтита моляра с пломбированием всех каналов, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.017.001 - Лечение периодонтита однокорневого зуба, завершенное пломбой из цемента","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.010.003 - Ортодонтическая коррекция,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.026.002 - Удаление эпулиса,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.027.002 - Удаление ретенционной кисты слизистой оболочки полости рта,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.020.002 - Операция пластики уздечки губ, языка","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.024.002 - Резекция верхушки корня зуба,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.027.001 - Распломбирование корневого канала, запломбированного пастой на окись-цинковой основе","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
