№,БИН/ИИН,Наименование субъекта,Ссылка,Долгосрочный договор,Юридический адрес,Форма собственности,Регион оказания услуг,Дата включения в БД
63448,180740022249,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""UNISERV MEDICAL CENTER""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63448,Нет,"Западно-Казахстанская область, г.Уральск",Частные организации,Западно-Казахстанская область,2018-12-05 00:00:00
63527,820311450272,ИП Ваш доктор,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63527,Нет,"Костанайская область, г.Костанай
Костанайская область, г.Костанай",Частные организации,Костанайская область,2024-11-14 12:17:37
63479,180440020211,"""PARK HEALTH WEST"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63479,Нет,"Атырауская область, г.Атырау",Частные организации,Атырауская область,2017-09-09 00:00:00
63503,860128302338,"ИП ""AMIRHAN medical clinic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63503,Нет,"Атырауская область, г.Атырау",Частные организации,Атырауская область,2022-12-10 12:49:46
63514,230340900232,ЧК QEFA Health Ltd.,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63514,Нет,"г.Астана, район Есиль",Частные организации,Кызылординская область,2024-09-16 17:38:43
63523,240540033974,"ТОО ""ЖАНДОС ДЕНТ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63523,Нет,"Кызылординская область, Жанакорганский район, с.Томенарык",Частные организации,Кызылординская область,2024-11-14 11:26:03
63526,150640016483,"ТОО ""Халықберді""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63526,Нет,"Кызылординская область, Чиилийский район, с.Шиели",Частные организации,Кызылординская область,2023-08-09 17:39:51
62965,100240018397,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ТАЛГАРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АЛМАТИНСКОЙ ОБЛАСТИ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62965,Нет,"Алматинская область, Талгарский район, г.Талгар",Государственные организации,Алматинская область,2017-09-12 00:00:00
63442,060340011076,"""Клиника Евромед"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63442,Нет,"г.Шымкент, район Тұран
г.Шымкент, район Тұран
г.Шымкент, район Тұран",Частные организации,г.Шымкент,2024-11-13 15:28:12
63446,200540002604,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСТЕТИК ДЕНТАЛ КЛИНИКА""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63446,Нет,"г.Шымкент, Каратауский район",Частные организации,г.Шымкент,2020-09-04 19:51:11
63498,220740042729,"""ОТБАСЫЛЫҚ ЕМХАНА"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63498,Нет,"г.Шымкент, Каратауский район",Частные организации,г.Шымкент,2023-02-27 10:03:29
63454,180640020070,ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «МНОГОПРОФИЛЬНАЯ ОБЛАСТНАЯ ДЕТСКАЯ БОЛЬНИЦА» ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63454,Да,"Акмолинская область, г.Кокшетау",Государственные организации,Акмолинская область,2018-07-02 00:00:00
63431,160140014044,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MAMMA GROUP""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63431,Нет,"Алматинская область, Карасайский район, г.Каскелен",Частные организации,Алматинская область,2017-10-16 00:00:00
63458,190140034897,"Товарищество с ограниченной ответственностью ""Лечебно-диагностический Центр Азия Мед""""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63458,Нет,"г.Алматы, Алмалинский район",Частные организации,г.Алматы,2019-11-10 00:20:03
63476,221040022385,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЛАЗЕРНОЙ ХИРУРГИИ ""DUET CLINIC""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63476,Нет,"г.Алматы, Ауэзовский район",Частные организации,г.Алматы,2023-07-28 15:40:22
62100,141040009668,"ТОО ""Ас-Ди МЕД""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62100,Нет,"Алматинская область, Карасайский район, с. Булакты",Частные организации,Алматинская область,2017-09-08 00:00:00
63484,190440005130,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕАБИЛИТАЦИОННЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63484,Нет,"Костанайская область, Костанайский район, г.Тобыл",Частные организации,Костанайская область,2019-11-12 18:26:40
59724,240140006114,"ТОО ""Шипа Life""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/59724,Нет,"Алматинская область, Илийский район, с.Мухаметжан Туймебаева
Алматинская область, Илийский район, с.Мухаметжан Туймебаева",Частные организации,Алматинская область,2024-11-11 17:05:27
63090,020340004036,"""ҚАЗАҚСТАН РЕСПУБЛИКАСЫ ҰЛТТЫҚ ҚАУІПСІЗДІК КОМИТЕТІ АЛМАТЫ ОБЛЫСЫ БОЙЫНША ДЕПАРТАМЕНТІ"" МЕМЛЕКЕТТІК МЕКЕМЕСІ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63090,Нет,"Алматинская область, г.Қонаев",Государственные организации,Алматинская область,2020-11-18 12:50:07
63366,021040003070,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АЛМАТИНСКОЙ ОБЛАСТИ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63366,Нет,"Алматинская область, Талгарский район, г.Талгар",Государственные организации,Алматинская область,2019-11-14 09:39:03
63465,240840037690,"Товарищество с ограниченной ответственностью ""Ару Реаб""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63465,Нет,"Алматинская область, Илийский район, с.Отеген батыра",Частные организации,Алматинская область,2024-10-22 18:30:37
63321,210340024437,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИКАЛ ЮГ КЗ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63321,Нет,"г.Шымкент, Аль-Фарабийский район
г.Шымкент, Аль-Фарабийский район",Частные организации,г.Шымкент,2024-11-11 15:46:10
63425,990140004525,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника №1"" управления здравоохранения Кызылординской области""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63425,Нет,"Кызылординская область, г.Кызылорда, рзд.11",Государственные организации,Кызылординская область,2017-09-08 00:00:00
63439,140440000943,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИКЛИНИКА №55""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63439,Нет,"г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район
г.Алматы, Ауэзовский район",Частные организации,г.Алматы,2019-11-13 18:17:18
63344,811110400393,ИП АЯУЛЫМ,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63344,Нет,"Атырауская область, г.Атырау
Атырауская область, г.Атырау",Частные организации,Атырауская область,2024-11-11 11:38:13
63423,050340007680,"Товарищество с ограниченной ответственностью ""Литер А""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63423,Нет,"г.Алматы, Алатауский район
г.Алматы, Алатауский район",Частные организации,г.Алматы,2024-11-11 11:31:56
62766,100340000118,"КГП на ПХВ ""Карасайская клиническая многопрофильная центральная районная больница""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62766,Нет,"Алматинская область, Карасайский район, г.Каскелен",Государственные организации,Алматинская область,2019-02-13 00:00:00
63435,991040001575,"Товарищество с ограниченной ответственностью ""Кызылординский Университет ""Болашак""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63435,Нет,"Кызылординская область, г.Кызылорда",Частные организации,Кызылординская область,2024-11-08 11:32:08
63436,230140025243,"Товарищество с ограниченной ответственностью ""RITM-MEDICAL-CENTER""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63436,Нет,"Туркестанская область, г.Туркестан",Частные организации,Туркестанская область,2023-11-14 15:08:37
63399,171040027344,"Товарищество с ограниченной ответственностью ""Альтернатива KST""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63399,Нет,"Костанайская область, г.Костанай",Частные организации,Костанайская область,2017-11-10 00:00:00
63337,180440004785,"ТОО ""DIAVERUM Medical""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63337,Нет,"Алматинская область, Енбекшиказахский район, с.Шелек
Алматинская область, Енбекшиказахский район, с.Шелек",Частные организации,Карагандинская область,2024-11-08 09:32:14
63398,230740041376,"""Бурабай"" Ортопедия және травмотология бойынша халықаралық ғылыми орталық"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63398,Нет,"Акмолинская область, Бурабайский район, п.Бурабай",Частные организации,Акмолинская область,2024-10-28 16:37:09
63391,161240000922,"Товарищество с ограниченной ответственностью ""Dobro Dent""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63391,Нет,"г.Алматы, Алмалинский район",Частные организации,г.Алматы,2023-10-11 12:37:16
63370,650829402331,ИП ТЛЕУОВА ДАРИХА,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63370,Нет,"Мангистауская область, г.Актау",Частные организации,Мангистауская область,2024-11-07 09:40:16
63341,230340034319,"Товарищество с ограниченной ответственностью ""Dental Lux clinic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63341,Нет,"Жамбылская область, Кордайский район, с.Отар",Частные организации,Жамбылская область,2023-12-05 20:40:34
62323,220740022378,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KLINIKA AQBURA""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62323,Нет,"г.Шымкент, Абайский район",Частные организации,г.Шымкент,2022-09-23 16:12:58
62333,220540031944,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KANSMED""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62333,Нет,"г.Шымкент, район Тұран",Частные организации,г.Шымкент,2023-01-19 15:00:08
62627,991240003751,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ""ЭКО""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62627,Нет,"г.Алматы, Алмалинский район
г.Алматы, Алмалинский район",Частные организации,г.Шымкент,2024-11-06 19:32:21
62671,091040004259,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №12"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА ШЫМКЕНТ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62671,Нет,"г.Шымкент, Каратауский район",Государственные организации,г.Шымкент,2017-09-12 00:00:00
63209,910917400587,"ИП ""Маржан-тіс""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63209,Нет,"г.Шымкент, Каратауский район",Частные организации,г.Шымкент,2024-05-14 16:31:20
63230,180240021014,"ТОО ""АTLANT CLINIC""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63230,Нет,"г.Шымкент, Енбекшинский район",Частные организации,г.Шымкент,2019-07-19 00:00:00
63234,140640009171,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРОАНДРОЛОГИЧЕСКИЙ ЦЕНТР - СҰЛТАН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63234,Нет,"г.Шымкент, район Тұран",Частные организации,г.Шымкент,2018-10-30 00:00:00
63339,240240026287,"Товарищество с ограниченной ответственностью ""Medical center SherMa by Dr.Kydyrova M.""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63339,Нет,"Туркестанская область, г.Туркестан
Туркестанская область, г.Туркестан",Частные организации,Туркестанская область,2024-11-06 17:15:33
63372,140240014718,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СҰЛТАНӘЖІ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63372,Нет,"Туркестанская область, Сузакский район, с.Козмолдак",Частные организации,Туркестанская область,2018-11-14 00:00:00
63328,220740028901,"ТОО ""Dento Kids""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63328,Нет,"г.Алматы, Ауэзовский район",Частные организации,г.Алматы,2023-11-13 12:08:20
63354,220740023366,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""IMPULS MED""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63354,Нет,"Туркестанская область, г.Арысь",Частные организации,Туркестанская область,2022-10-21 12:12:34
63345,990640002498,"Государственное учреждение ""Поликлиника Департамента полиции г. Алматы""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63345,Нет,"г.Алматы, Алмалинский район",Государственные организации,г.Алматы,2017-09-11 00:00:00
63355,181240026355,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗАХСКИЙ НАУЧНЫЙ ЦЕНТР ДЕРМАТОЛОГИИ И ИНФЕКЦИОННЫХ ЗАБОЛЕВАНИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63355,Нет,"г.Алматы, Медеуский район",Государственные организации,г.Алматы,2019-01-22 00:00:00
63139,240140004798,"Товарищество с ограниченной ответственностью ""BOLAT-CLINICAL""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63139,Нет,"Туркестанская область, Сузакский район, с.Шолаккорган",Частные организации,Туркестанская область,2024-04-24 09:56:36
63329,051040005150,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС ""ОК-ЖЕТПЕС""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63329,Нет,"Акмолинская область, Бурабайский район, п.Бурабай",Частные организации,г.Алматы,2018-11-27 00:00:00
63324,230840025289,"Товарищество с ограниченной ответственностью ""Центр восстановительной медицины и реабилитации""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63324,Нет,"г.Алматы, Жетысуский район",Частные организации,г.Алматы,2023-09-27 12:58:54
63340,240940035132,"""Қарағанды медицина университеті"" коммерциялық емес акционерлік қоғамы",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63340,Нет,"Карагандинская область, г.Караганда, район им.Казыбек би
Карагандинская область, г.Караганда, район им.Казыбек би
Карагандинская область, г.Караганда, район им.Казыбек би",Государственные организации,Карагандинская область,2024-11-05 17:53:29
63208,240940035162,"Некоммерческое акционерное общество ""Национальный центр гигиены труда и профессиональных заболеваний""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63208,Нет,"Карагандинская область, г.Караганда, район им.Казыбек би
Карагандинская область, г.Караганда, район им.Казыбек би",Субъекты квазигосударственного сектора,Карагандинская область,2024-11-05 14:29:40
63210,150540000671,"Товарищество с ограниченной ответственностью ""Центр семейного здоровья Авиценна ВКО """,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63210,Нет,"Восточно-Казахстанская область, г.Усть-Каменогорск",Частные организации,Восточно-Казахстанская область,2017-09-12 00:00:00
63317,170740002193,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАУГУЛЬ-ДЕНТ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63317,Нет,"г.Алматы, Ауэзовский район",Частные организации,г.Алматы,2018-04-10 00:00:00
63307,220440045168,"ТОО ""AZATTYQ NEWS KZ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63307,Нет,"Кызылординская область, г.Кызылорда",Частные организации,Кызылординская область,2024-11-04 17:56:39
63316,110140008497,"ТОО ""В.В.NURA""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63316,Нет,"г.Астана, район Есиль",Частные организации,Акмолинская область,2019-11-15 17:08:14
63271,940640001514,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ КОМИТЕТА НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ РЕСПУБЛИКИ КАЗАХСТАН ПО АКТЮБИНСКОЙ ОБЛАСТИ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63271,Нет,"Актюбинская область, Актобе Г.А., район Алматы",Государственные организации,Актюбинская область,2020-03-18 11:48:55
63313,090240014578,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МЕДИЦИНСКИЙ ЦЕНТР ""INTERTEACH AKTOBE""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63313,Нет,"Актюбинская область, г.Актобе, район Алматы",Частные организации,Актюбинская область,2017-09-15 00:00:00
63203,990440006760,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""МИРАС""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63203,Нет,"Костанайская область, г.Лисаковск",Частные организации,Костанайская область,2017-09-12 00:00:00
62936,990240002969,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКОЙ КАРДИОЛОГИЧЕСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62936,Да,"г.Алматы, Алмалинский район
г.Алматы, Алмалинский район
г.Алматы, Алмалинский район
г.Алматы, Алмалинский район
г.Алматы, Алмалинский район
г.Алматы, Алмалинский район
г.Алматы, Алмалинский район",Государственные организации,г.Алматы,2017-09-11 00:00:00
63177,151140002874,"ТОО ""МЦМР ""Аруана""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63177,Нет,"г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2017-09-18 00:00:00
63218,990240002710,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА №2"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ГОРОДА АЛМАТЫ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63218,Нет,"г.Алматы, Медеуский район",Государственные организации,г.Алматы,2017-09-10 00:00:00
63222,000140003285,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ ДЛЯ ВЕТЕРАНОВ ОТЕЧЕСТВЕННОЙ ВОЙНЫ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63222,Нет,"г.Алматы, Бостандыкский район",Государственные организации,г.Алматы,2017-09-12 00:00:00
63223,090340007797,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТИТУТ ГАСТРОЭНТЕРОЛОГИИ,ГЕПАТОЛОГИИ И МЕТАБОЛИЗМА""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63223,Нет,"г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2018-07-18 00:00:00
63233,210940028898,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАУГУЛЬ СТОМ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63233,Нет,"г.Алматы, Ауэзовский район",Частные организации,г.Алматы,2022-02-17 09:46:52
63235,240440031548,"Товарищество с ограниченной ответственностью ""ERENSAU""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63235,Нет,"г.Алматы, Медеуский район
г.Алматы, Медеуский район",Частные организации,г.Алматы,2024-11-04 11:29:19
63264,140540014838,"ТОО ""Alatau Assistance""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63264,Нет,"г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2017-09-08 00:00:00
63273,040740004430,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САНАТОРИЙ КАЗАХСТАН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63273,Нет,"г.Алматы, Медеуский район",Частные организации,г.Алматы,2017-11-09 00:00:00
63276,230640013317,"Товарищество с ограниченной ответственностью ""AsfaMedClinic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63276,Нет,"г.Алматы, Алатауский район",Частные организации,г.Алматы,2023-12-04 16:30:53
63006,230440029207,"ТОО ""MedCenter.Kz""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63006,Нет,"Туркестанская область, г.Туркестан",Частные организации,Туркестанская область,2024-04-24 09:55:55
63159,191140024713,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AISHA MEDICAL""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63159,Нет,"Туркестанская область, г.Кентау",Частные организации,Туркестанская область,2020-10-15 11:51:31
63259,021140006622,"РГУ ""Военный лазарет, поселок Сарыозек"" МО РК",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63259,Нет,"область Жетісу, Кербулакский район, с.Сарыозек",Государственные организации,область Жетісу,2024-03-13 19:27:43
63225,121040003893,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СД ТУРАН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63225,Нет,"область Ұлытау, г.Сатпаев
область Ұлытау, г.Сатпаев",Частные организации,область Ұлытау,2024-11-01 19:16:07
63261,220440055046,"ТОО ""DARAMED ZHZ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63261,Нет,"область Ұлытау, г.Жезказган",Частные организации,область Ұлытау,2022-06-30 19:44:37
63257,171040000749,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NEPHROLIFE""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63257,Нет,"г.Астана, район Алматы",Частные организации,Атырауская область,2022-06-24 12:09:59
63180,940640001153,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТАМБАЙ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63180,Нет,"Карагандинская область, г.Караганда, район им.Казыбек би",Частные организации,Карагандинская область,2021-07-01 18:30:59
63188,200240016877,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MIRAS MEDFARM""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63188,Нет,"г.Алматы, Наурызбайский район",Частные организации,г.Алматы,2022-09-09 11:55:37
63201,210440041301,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУСКИЙ ОБЛАСТНОЙ ЦЕНТР ФТИЗИОПУЛЬМОНОЛОГИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63201,Нет,"Мангистауская область, г.Актау",Государственные организации,Мангистауская область,2021-05-24 12:07:00
63195,070240006206,КГП на ПХВ «Курмангазинская районная больница» Управления здравоохранения Атырауской области,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63195,Нет,"Атырауская область, Курмангазинский район, с.Құрманғазы",Государственные организации,Атырауская область,2017-09-09 00:00:00
62801,200940002476,"ТОО ""Лаборатория И.В. Смолина""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/62801,Нет,"Костанайская область, г.Костанай",Частные организации,Костанайская область,2024-11-01 09:57:24
63167,210240039967,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АҚНИЕТМЕДСЕРВИС""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63167,Нет,"Мангистауская область, Каракиянский район, с.Жетыбай",Частные организации,Мангистауская область,2022-10-07 13:17:32
63158,730140000034,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ТУПКАРАГАНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ АКИМАТА МАНГИСТАУСКОЙ ОБЛАСТИ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63158,Нет,"Мангистауская область, Тупкараганский район, г.Форт-Шевченко",Государственные организации,Мангистауская область,2017-09-09 00:00:00
